,index,Title,Comment,Language,Comment Length
27,27,DON'T BREATHE 2  ,Fede Alvarez is only producing this one? Guess he embraced his role as Evil Dead director and gave up on directing...,en,117
28,28,DON'T BREATHE 2  ,Those young villains shouldn't have touched an old man and his family members in the first place since the old man's fury looks so huge.,en,136
29,29,DON'T BREATHE 2  ,"Is it just me, or doesn't HE look like a more badass Old Man Logan than Hugh Jackman?",en,85
30,30,DON'T BREATHE 2  ,"They really showed a trailer of him killing the “antagonist” with an axe to the head. 
These trailers built different.",en,118
31,31,DON'T BREATHE 2  ,"Stick, the guy who trained Daredevil gets his own solo film!",en,60
32,32,DON'T BREATHE 2  ,Man this gave me chills .They maintained the legacy of their series,en,67
33,33,DON'T BREATHE 2  ,Kinda disappointed that Jane Levy's not returning. With Zoey's Playlist being canceled I could've really used some good news. ☹,en,127
34,34,DON'T BREATHE 2  ,Tell me him and the lil girl would be perfect to be cast in “The Last Of Us” as Joel and Ellie.,en,95
35,35,DON'T BREATHE 2  ,Is this the Daredevil in his 60s? He can still kick ass!,en,56
36,36,DON'T BREATHE 2  ,Grandpa has turned good after all the beatings he took in the first part...,en,75
37,37,DON'T BREATHE 2  ,"If you meditate regular, the you also got that ""'power of sense ""'.",en,67
38,38,DON'T BREATHE 2  ,That old dude got no chills!,en,28
39,39,DON'T BREATHE 2  ,Last 46 sec is enough as a teaser trailer. they reveald almost all.,en,67
40,40,DON'T BREATHE 2  ,"""I once was blind, but now you'll see, the dark is more of a home and friend to me. So leave the girl and be on your way, or I'll book you in for a permanent stay🔨"". Looking forward to seeing this when it's out 🙂.",en,213
41,41,DON'T BREATHE 2  ,"Somehow, I think the continuation of the previous story could have been a better idea.",en,86
42,42,DON'T BREATHE 2  ,മലയാളികൾ ആരും ഇല്ലേ...pewerr  കാണിക്കട പുള്ളാരേ😅😂😂,ml,50
43,43,DON'T BREATHE 2  ,Damn I love how they made him into the badass protagonist we're rooting for now. :D,en,83
44,44,DON'T BREATHE 2  ,I feel like they showed everything in this trailer but I’m still gonna watch it anyway. The first one was dope and I’m excited to see what’s gonna happen on this one.,en,166
45,45,DON'T BREATHE 2  ,"Wow! First part he was villain, second part he's HERO! I like this twist",en,72
46,46,DON'T BREATHE 2  ,I've definitely have been waiting in anticipation for this sequel!! The first movie was a nail biter of intensity and great acting scenes. Facts 💯%!!,en,149
47,47,DON'T BREATHE 2  ,"The first one was so marvelous, hope this sequal be same like that one❤️",en,72
48,48,DON'T BREATHE 2  ,"The light was turned off
The blind man: Yall gonna see what I SEE
That's the slogan of the whole movie huh",en,106
49,49,DON'T BREATHE 2  ,"I feel this is one of those ""same character, different story"" where part  of the first movie never happened... like Highlander.",en,127
50,50,CLIFFORD THE BIG RED DOG  ,Remember guys if you’re dog isn’t massive you don’t love him enough.,en,68
51,51,CLIFFORD THE BIG RED DOG  ,"I literally never thought i'd see the day, where the would make a live action film of one of my favorite childhood cartoons",en,123
52,52,CLIFFORD THE BIG RED DOG  ,At least they didn't spoil the part where the US military and the Rock had to fight Clifford after mistaking him for a kaiju.,en,125
53,53,CLIFFORD THE BIG RED DOG  ,If there isn’t a scene where he goes for a giant shit in the park and Jeff goldblum turns up and says “that’s one big pile of shit” I’m not watching it,en,151
54,54,CLIFFORD THE BIG RED DOG  ,"Is this going to be like an American Paddington? Oh, and John Cleese as the token British guy, of course.",en,105
55,55,CLIFFORD THE BIG RED DOG  ,Will this open up an extended movie universe? Clifford versus the very hungry caterpillar: Furmageddon.,en,103
56,56,CLIFFORD THE BIG RED DOG  ,Imagine in the middle of the movie Clifford started shrinking,en,61
57,57,CLIFFORD THE BIG RED DOG  ,Jack with an american accent is something i didnt know i needed,en,63
58,58,CLIFFORD THE BIG RED DOG  ,3 seconds into a trailer and then Wilhelm scream. That has to be a record?,en,74
59,59,CLIFFORD THE BIG RED DOG  ,I feel like this should’ve came out around the time as Alvin and the chipmunks,en,78
60,60,CLIFFORD THE BIG RED DOG  ,"My childhood. 

The feels man the feels lol.",en,44
61,61,CLIFFORD THE BIG RED DOG  ,"Scale breaks: ""I'm just gonna write heavy."" lmfao.",en,50
62,62,CLIFFORD THE BIG RED DOG  ,"I'm a grown man, but this? This scares me.",en,42
63,63,CLIFFORD THE BIG RED DOG  ,"ah yes, the big red dog… we definitely needed a live action movie for this…",en,75
64,64,CLIFFORD THE BIG RED DOG  ,Slap a saddle on that dog. Maybe some armor. Teach it to attack on command. Rule the world.,en,91
65,65,CLIFFORD THE BIG RED DOG  ,My wife just got sooo excited one of her favorite childhood memories I am definitely certain she’s dragging me to see this 🤷🏽😳Yyaaay😒🤣🤣🤣happy wife happy life🙏🏾,en,159
66,66,CLIFFORD THE BIG RED DOG  ,Seriously dynamite so exited to listen BTS welcome to USA🔥🔥,en,59
67,67,CLIFFORD THE BIG RED DOG  ,This movie is gonna blow up like DYNAMITE!!!,en,44
68,68,CLIFFORD THE BIG RED DOG  ,This movie is about the origin story of the next Kaiju in the MonsterVerse.,en,75
69,69,CLIFFORD THE BIG RED DOG  ,Next thing you know they'll be moving to Birdwell Island in the 2nd movie,en,73
70,70,CLIFFORD THE BIG RED DOG  ,"Never forget, Clifford is technically a Kaiju.",en,46
71,71,CLIFFORD THE BIG RED DOG  ,"No wayyyyyyyyy
I used to watch this as a kid 😃",en,46
72,72,CLIFFORD THE BIG RED DOG  ,"I can’t even hate on this, lol I grew up watching Clifford!",en,59
73,73,CLIFFORD THE BIG RED DOG  ,I think we know which demographic is gonna eat this up. lmao,en,60
74,74,CLIFFORD THE BIG RED DOG  ,Look at how they massacred my boy…,en,34
75,75,CLIFFORD THE BIG RED DOG  ,Not 5 seconds and already the Wilhelm scream?,en,45
76,76,CLIFFORD THE BIG RED DOG  ,I love my dog so much hes grown 3 times his original size over the last 6 months. I mean he's bigger.... but also chonkier.... maybe less treats and more playtime from now on.,en,175
77,77,CLIFFORD THE BIG RED DOG  ,This was Long overdue for my big homie Clifford,en,47
78,78,CLIFFORD THE BIG RED DOG  ,Love this and love how they chose dynamite in the background 💜,en,62
79,79,CLIFFORD THE BIG RED DOG  ,"They really should've made him a different dog, like, maybe an adult.",en,69
80,80,CLIFFORD THE BIG RED DOG  ,"""You just drew him big."" – Louis CK",fr,35
81,81,CLIFFORD THE BIG RED DOG  ,"Odd Clifford isn't talking.
Cause I would've gotten Jason Ritter as the voice.",en,78
82,82,CLIFFORD THE BIG RED DOG  ,Army's be like: why's the dog is not purple?,en,44
83,83,CLIFFORD THE BIG RED DOG  ,of course i'm gonna watch a child's movie just because they used dynamite as the background song,en,96
84,84,CLIFFORD THE BIG RED DOG  ,This movie looks genuinely decent. The effects on Clifford look good.,en,69
85,85,CLIFFORD THE BIG RED DOG  ,There is no way this is happening I really used to love this show and now they’re making a live action movie out of it this is a dream,en,134
86,86,CLIFFORD THE BIG RED DOG  ,"The soundtrack! Perfect
Also, definitely watching this",en,54
87,87,CLIFFORD THE BIG RED DOG  ,"This morning, I was thinking about Clifford, then this trailer came out!",en,72
88,88,CLIFFORD THE BIG RED DOG  ,"OH, my childhood. He looks so adorable.",en,39
89,89,CLIFFORD THE BIG RED DOG  ,"I wasn’t expecting this, but this might be a big hit 👀",en,54
90,90,CLIFFORD THE BIG RED DOG  ,Oh hey nostalgia...oh gosh that thumbnail.... Jesus Christ how horrifying,en,73
91,91,CLIFFORD THE BIG RED DOG  ,BTS and Clifford the Big Red Dog are two things that don't blend together very well.,en,84
92,92,CLIFFORD THE BIG RED DOG  ,why is this one of the most exciting things to happen to me this year lol,en,73
93,93,CLIFFORD THE BIG RED DOG  ,"Big Red Doggo?  Live action?  Whaat?
*starts getting childhood nostalgia*",en,73
94,94,CLIFFORD THE BIG RED DOG  ,"This actually looks like it might be something I would enjoy. I loved Clifford as a kid and always imagined what a film would be like. I hoped that they would have Clifford be a big dog and act like one as well. Really glad to see they have done so with this film it makes his size play a grounded role rather than having a magic talking dog. I love dogs and def believe they make great plot devices going back to classic dog movies, my favorite being the original betoveen from the early 90s.",en,493
95,95,CLIFFORD THE BIG RED DOG  ,Omdssss I used to watch this cartoon 🤣childhood,en,47
96,96,CLIFFORD THE BIG RED DOG  ,"Can't wait for Razzle, or some other commentary channel to tear this movie apart😭",en,81
97,97,CLIFFORD THE BIG RED DOG  ,I'm a grown man and I am going to see this in a theatre.,en,56
98,98,CLIFFORD THE BIG RED DOG  ,Damn this is so nostalgic.,en,26
99,99,CLIFFORD THE BIG RED DOG  ,"""This isn't even my final form""

""WOLF""",en,39
100,100,THE MANY SAINTS OF NEWARK  ,Tony Soprano is back!! ❤️,en,25
101,101,THE MANY SAINTS OF NEWARK  ,The Kid playing the young Tony Soprano is actually James Gandolfini's son.,en,74
102,102,THE MANY SAINTS OF NEWARK  ,James Gandolfini would have been so proud,en,41
103,103,THE MANY SAINTS OF NEWARK  ,Holy. Shit.,en,11
104,104,THE MANY SAINTS OF NEWARK  ,This trailer truly has the makings of a varsity athlete,en,55
105,105,THE MANY SAINTS OF NEWARK  ,Rest in Peace James Gandolfini. Salut Michael Gandolfini!,en,57
106,106,THE MANY SAINTS OF NEWARK  ,‘He doesn’t apply himself’ is short for ‘He never had the making of a varsity athlete’,en,86
107,107,THE MANY SAINTS OF NEWARK  ,I'd rather see how Tony failed as a varsity athlete.,en,52
108,108,THE MANY SAINTS OF NEWARK  ,"Kind of disappointed, he doesn't look like he has the makings of a varsity athlete...",en,85
109,109,THE MANY SAINTS OF NEWARK  ,Ray Liotta busting out his Henry Hill's LOL face.,en,49
110,110,THE MANY SAINTS OF NEWARK  ,The many saints of newark plot summary: a young Tony soprano shows how he doesn't have the makings of a varsity athlete,en,119
111,111,THE MANY SAINTS OF NEWARK  ,"“Absolutely.
Cinema at its finest.
Theres none like it.”",en,56
112,112,THE MANY SAINTS OF NEWARK  ,That’s James son playing him. This looks freaking amazing,en,57
113,113,THE MANY SAINTS OF NEWARK  ,"The background music is🔥. I just hope that this movie isn't afraid of being offensive just like the show.
Where is uncle jun though?",en,132
114,114,THE MANY SAINTS OF NEWARK  ,That was awesome. James would be so proud. The best gangster ever Tony Soprano.,en,79
115,115,THE MANY SAINTS OF NEWARK  ,"Just when I thought I was out,...this Trailer pulled me back in...",en,66
116,116,THE MANY SAINTS OF NEWARK  ,Who they cast for Young dickie moltasante looks he would be an even better young Richie Aprile,en,94
117,117,THE MANY SAINTS OF NEWARK  ,"Any movie with Ray Liotta in it, I watch attentively with a 6 pack",en,66
118,118,THE MANY SAINTS OF NEWARK  ,“Micheal Gandolfini has the makings of a Varsity Athlete.”,en,58
119,119,THE MANY SAINTS OF NEWARK  ,Wouldn't Jon Bernthal been a better choice for Dickie?,en,54
120,120,THE MANY SAINTS OF NEWARK  ,Livia won't cut young Tony a break even when his teacher or principal is telling her he's very intelligent.,en,107
121,121,THE MANY SAINTS OF NEWARK  ,Tony doesn’t look like a varsity athlete.,en,41
122,122,THE MANY SAINTS OF NEWARK  ,This trailer has tremendous moxie for its size.,en,47
123,123,THE MANY SAINTS OF NEWARK  ,I WAITED TWENTY F-ING YEARS!,en,28
124,124,THE MANY SAINTS OF NEWARK  ,"You woke up this morning
Got yourself a gun,
Mama always said you'd be
The Chosen One.",en,86
125,125,THE MANY SAINTS OF NEWARK  ,"holy shit, that music at the end",en,32
126,126,THE MANY SAINTS OF NEWARK  ,"Despite being hyped up, I can sadly tell this would've been a thousand times better in a mini-series format.. there's just far too much to cram in 2.5-3hrs, even if their whole idea is to focus on Dickie & Tony's relationship-long time fans genuinely wanna see more than that, fleshed out back stories/characters like Feech & Richie & Junior/Johnny; the creator of Entourage wanted to do the same exact thing except HBO basically flat out forced them to do a movie-despite the fact Doug Ellin was adamant there was too much to cram in that format 🤷",en,548
127,127,THE MANY SAINTS OF NEWARK  ,ok but when the meat store came out and all of them hanging in there was amazing,en,80
128,128,THE MANY SAINTS OF NEWARK  ,Anyone else in tears right now? 🥲,en,33
129,129,THE MANY SAINTS OF NEWARK  ,Chris didn't get that canopy nose from his fawda,en,48
130,130,THE MANY SAINTS OF NEWARK  ,This trailer never had the makings of a varsity movie.,en,54
131,131,THE MANY SAINTS OF NEWARK  ,"Just when I thought I was out, they pulled me back in!",en,54
132,132,THE MANY SAINTS OF NEWARK  ,He never had the makings of a varsity athlete,en,45
133,133,THE MANY SAINTS OF NEWARK  ,So glad to see Uncle Joey in this movie.,en,40
134,134,THE MANY SAINTS OF NEWARK  ,I’m so ready for this!,en,22
135,135,THE MANY SAINTS OF NEWARK  ,Oh my god I just got chills. Especially at the start with James’s voice as Tony and at the end when the Sopranos theme played. This is going to be good.,en,152
136,136,THE MANY SAINTS OF NEWARK  ,"He's a goddamn hothouse flower, that's his problem",en,50
137,137,THE MANY SAINTS OF NEWARK  ,Interesting that there is more of Dickie in the movie than Tony's dad.,en,70
138,138,THE MANY SAINTS OF NEWARK  ,Just imagine Tony’s life if he had made varsity 🤦‍♂️,en,52
139,139,THE MANY SAINTS OF NEWARK  ,"You make me wanna cry... It's a movie. You gotta grow up.

- Anthony Soprano to Anthony Jr.",en,91
140,140,THE MANY SAINTS OF NEWARK  ,Something tells me that Gandolfini's son can't act.,en,51
141,141,THE MANY SAINTS OF NEWARK  ,"Now, can we have  Furio on the Run movie ?",en,42
142,142,THE MANY SAINTS OF NEWARK  ,I been watching sopranos clips for the last 2 years 😭😭😭 I'm soooo happy ! Hearing Tony's voice gave me chills!!,en,111
143,143,THE MANY SAINTS OF NEWARK  ,"""Woke up this morning got some Gaba Goo""",en,40
144,144,THE MANY SAINTS OF NEWARK  ,IS THIS REAL????I CAN'T BELIEVE IT,en,34
145,145,THE MANY SAINTS OF NEWARK  ,"Damn, absolutely stoked for this. The kid even looks like a young James Gandolfini",en,82
146,146,THE MANY SAINTS OF NEWARK  ,"In the series, Tony was about 10 during the 1967 riots. In this thing he's what 17?I don't know about this one. I hope its not another big flop like The Irishman!Anybody  care to remember that overhyped bomb?",en,208
147,147,THE MANY SAINTS OF NEWARK  ,Bro I just want these guys to use the same dialogue writers they had for James,en,78
148,148,THE MANY SAINTS OF NEWARK  ,Oh My Dog! I just got goosebumps because of this! Can´t wait to see it!,en,71
149,149,THE MANY SAINTS OF NEWARK  ,"I bet dad is proud of you, Michael. 👍❤",en,38
150,150,FOUNDATION  2 ,This plus Dune equals a happy sci-fi nerd. Now we just need Rendevous with Rama.,en,80
151,151,FOUNDATION  2 ,"“Mr. Advocate, the rotten tree-trunk, until the very moment when the storm-blast breaks it in two, has all the appearance of might it ever had. The storm-blast whistles through the branches of the Empire even now. Listen with the ears of psychohistory, and you will hear the creaking.”
― Isaac Asimov, Foundation",en,312
152,152,FOUNDATION  2 ,I love Lee Pace. He's always a stellar addition to any interesting cast.,en,72
153,153,FOUNDATION  2 ,This is September and then Dune in October? A good Fall for sci-fi fans.,en,72
154,154,FOUNDATION  2 ,Lee Pace is that guy who’s always British but he’s not,en,54
155,155,FOUNDATION  2 ,Good to see Thranduil sitting on the throne again,en,49
156,156,FOUNDATION  2 ,"I hope they don't blow it. 

I remember finding the ""Foundation Trilogy"" as a teenager. Did not go out side for almost a month while I read them and it was summer!",en,163
157,157,FOUNDATION  2 ,I am genuinely doubtful that this would work. Let’s see what Morierty brings as Harry Sheldon.,en,94
158,158,FOUNDATION  2 ,So excited to see this. The books had a real impact on me as a youngster.,en,73
159,159,FOUNDATION  2 ,"As a huge fan of Isac Asimov books,  I'm not sure if I'm too excited or too scared to watch this!",en,97
160,160,FOUNDATION  2 ,"Dune Foundation and Wheel of time all within months of each other 

16 year old me is FREAKING OUT",en,98
161,161,FOUNDATION  2 ,"Looks like they're taking quite a few liberties with this series, but it looks epic.  I hope they do it justice :-/",en,115
162,162,FOUNDATION  2 ,"I hope they don't make it a straight-up sci-fi action. That said, I'm excited to see how they portray Trantor in all its glory!",en,127
163,163,FOUNDATION  2 ,I seriously can’t wait !!! Also Lee Pace is such an underrated actor ! ❤️,en,73
164,164,FOUNDATION  2 ,Damn.. Finally Foundation comes to screen. Looks awesome. Isaac Asimov.. The greatest 👍👍,en,88
165,165,FOUNDATION  2 ,"""You cannot save yourselves but you can save your legacy!  We will start a foundation in the end of the galaxy and compose a galactic encyclopedia containing all knowledge.  We will spread it all over so our knowledge is saved and the dark age is shortened.""",en,258
166,166,FOUNDATION  2 ,My 30 years dream finally done.RIP Godfather of  Sci Fi Isaac Asimov,en,68
167,167,FOUNDATION  2 ,now I want Riddick to fix this war,en,34
168,168,FOUNDATION  2 ,Uh oh. I liked the first trailer better. This one makes it look like they will be going a much more generic route....,en,117
169,169,FOUNDATION  2 ,"This looks so good!!!!!! 🔥
I loved “Ted lasso”,”Servant “ and “Lisey’s story”(by Legend Steven King) on Apple TV+ .They are doing an awesome job with their Original shows .Can’t wait for Foundation",en,197
170,170,FOUNDATION  2 ,"Ok, I'm interested in this, but I'm scared it's gonna end up being a 5/10 series. I hope it has that umph.",en,106
171,171,FOUNDATION  2 ,"I mean, they are making an entire series about the first 50 pages of the original book, I dont know what to think tbh",en,117
172,172,FOUNDATION  2 ,"Genetic Dynasty? The empire existed only for 400 years? I don't know what this is, but it's not Foundation.",en,107
173,173,FOUNDATION  2 ,"Jared Harris and Lee Pace, I need this right now.",en,49
174,174,FOUNDATION  2 ,I love how Lee Pace is just Thranduil without the hair and ears in this.,en,72
175,175,FOUNDATION  2 ,I just can't Picture Lee Pace without his white silver hair in the Hobbit.,en,74
176,176,FOUNDATION  2 ,Lee Pace is very handsome🔥,en,26
177,177,FOUNDATION  2 ,I adore Lee Pace! His voice is so deep and melodic! I love listening to the Darkest Night podcasts which he narrates part of 😊,en,126
178,178,FOUNDATION  2 ,I really looking forward to this.,en,33
179,179,FOUNDATION  2 ,I gotta say I’m always do for some sci fi space movies,en,54
180,180,FOUNDATION  2 ,I get a very 'Amarr Empire' feeling from Eve Online.. I'm very excited for this film.,en,85
181,181,FOUNDATION  2 ,"Well, this is strange. I either can't remember the books correctly or this seems very different.",en,96
182,182,FOUNDATION  2 ,Hollywood should make more sci-fi movies like this,en,50
183,183,FOUNDATION  2 ,Apple is taking a serious gamble on turning a legendary book into a TV series,en,77
184,184,FOUNDATION  2 ,"4 centuries seems like somewhat less of a big deal than 12,000 years.",en,69
185,185,FOUNDATION  2 ,"Damn, Apple plus coming through with some really good shows. first SEE now this! I am excoited.",en,95
186,186,FOUNDATION  2 ,Finally a series from those books omg... This is amazing,en,56
187,187,FOUNDATION  2 ,"Nice, now we need The City and the Stars!",en,41
188,188,FOUNDATION  2 ,"If ""save your legacy"" is the call of the day, British are ""you know nothing John Snow"". I could be wrong . In fact, British be like ""kill your legacy to steal just one more dime!""",en,179
189,189,FOUNDATION  2 ,WAIT. Am I going to see this BEFORE Dune???,en,43
190,190,FOUNDATION  2 ,"I'll watch anything with Lee Pace, except for Twilight... I just watched clips with him in it.",en,94
191,191,FOUNDATION  2 ,"Repeat after me people, 'tv/movie adaptations will never be the same as the books'. Just enjoy it as a separate entity.",en,119
192,192,FOUNDATION  2 ,"judging by the trailers, the entire season will based on just the 1st of the 5 parts of the 1st foundation book? i mean, there is enough material there, sure, but still - way to stretch it. excited either way:)",en,210
193,193,FOUNDATION  2 ,"I cant wait to see Trantor!!! Anyway, I think this season will be the fall of the empire with a lot of action and battles to make people interested in the show, so they can renovate for more seasons. First  season will finish with survivors going to Trantor. Real Foundation will start in second season. (If they renovate the contract).",en,336
194,194,FOUNDATION  2 ,"Yeah, I didn't read past the first trilogy but none of this looks familiar.",en,75
195,195,FOUNDATION  2 ,"1. it’s Isaac Asimov foundationnn 
2. I see lee pace I click
My two weaknesses",en,78
196,196,FOUNDATION  2 ,Looks very promising !,af,22
197,197,FOUNDATION  2 ,"Is this based off ""The Foundation Trilogy by Isaac Asimov"" ? ? ? Elon Musk's favourite space sci-fi series.",en,107
198,198,FOUNDATION  2 ,Huge foundation fan. Seems major deviations from the original. I will watch though. The actor playing Harry seems perfect,en,121
199,199,FOUNDATION  2 ,Someone needs to make Plan 9 from Outer Space as a TV series.,en,61
200,200,JOLT  ,It looks like if Crank and Lucy had a kid.,en,42
201,201,JOLT  ,"So, basically Selene from Underworld becomes human, but manages to retain some of her supernatural strength?",en,108
202,202,JOLT  ,"Jesus, Mary, and Joseph...this woman is almost 50 years old and looks 30. I love KB and I will watch whatever terrible movie she’s in.",en,134
203,203,JOLT  ,They had me at Kate Beckinsale.,en,31
204,204,JOLT  ,Seems like Argus Filch is now more grumpy then ever,en,51
205,205,JOLT  ,It looks like a female version of Crank mixed with some Atomic Blonde inspiration. I bet those fight scenes will be chopped to sh*t.,en,132
206,206,JOLT  ,"Sort getting the movie Lucy vibes sort of with this lol glad to see my girl Kate back on the screens again , im definitely checking this out , looks good",en,153
207,207,JOLT  ,I can only take this seriously if she gets some of her power from JOLT cola.,en,76
208,208,JOLT  ,She made me first fall in love with her when she sported the fangs and tight leather! I'm gonna see this for sure 🥰,en,115
209,209,JOLT  ,"Kate kills people
James May: Does that mean they're not coming on then?",en,71
210,210,JOLT  ,"Oscar nominee Stanley Tucci, ladies and gentlemen, coming straight from a real, touching, loving look at dementia in Supernova to plausibly act here like he truly is a man that helps a woman by shocking her with a Playstation Buzz! controller.",en,243
211,211,JOLT  ,I always love seeing her in action movies!!! Just waiting for her and Milla Jovovich to be cast as a team up kinda heroine film where they both work together to take down some bad guy(s)!,en,187
212,212,JOLT  ,"So basically a female version of crank, got it!!",en,48
213,213,JOLT  ,"We had Evelyn Salt
Now there's an upgraded Jolt",en,47
214,214,JOLT  ,She literally does not age since she became a vamp in Underworld.,en,65
215,215,JOLT  ,"Good lord! She's almost 50 and still looks hotter than most of the younger actresses in Hollywood. 
Can they just make another ""Underworld"" and feed my need to see her in the black leather outfits?",en,197
216,216,JOLT  ,The goddess is back.,en,20
217,217,JOLT  ,Kate Beckinsale is just as gorgeous as a blonde.,en,48
218,218,JOLT  ,"KB makes this movie watchable, otherwise it’s a cookie cutter script",en,68
219,219,JOLT  ,Looks like Walder Frey is still enjoying his pie :D,no,51
220,220,JOLT  ,Walder Frey's behind this? Kate's just gotta feed him some pie.,en,63
221,221,JOLT  ,Jai Courtney still has the best agent in Hollywood. How is this guy still getting jobs.,en,87
222,222,JOLT  ,"Director:  How about Crank+Lucy+J.Wick Fusion? 
Amazon Prime: Yes Please !",en,74
223,223,JOLT  ,this woman is incredible <3,en,27
224,224,JOLT  ,"Crank + Limitless, and a sprinkle of john wick?",en,47
225,225,JOLT  ,This looks SICK!!!,et,18
226,226,JOLT  ,"Kate is Back in action, I love the way she fights, so excited to watch this",en,75
227,227,JOLT  ,"When Hot Vampire turn human but power still in her body and later she, Lucy and Black Widow  Also Alice together make Charlies real Angel League",en,144
228,228,JOLT  ,Totally cutting my hair like this.,en,34
229,229,JOLT  ,Is Hollywood incapable of releasing a Trailer with out basically showing the whole movie in 2 to 3 min.  I mean Damn...,en,119
230,230,JOLT  ,"Kate Beckinsale?! Take my money!!! Now please!!! I’m begging you 😭

On another note… cast her as MCU’s JEAN GREY (would be so awesome to see her in that 90s classic XMEN suit) / Phoenix please… or Polaris",en,204
231,231,JOLT  ,Kate Beckinsale is pretty and badass in this trailer !!! ❤,en,58
232,232,JOLT  ,My Crush forever Kate Beckinsale 🥰,en,34
233,233,JOLT  ,Kate is number one!,af,19
234,234,JOLT  ,"I like Kate, but this look SO clichéd - I appreciate it has to be really difficult to come up with an original action movie when everythings been done already",en,158
235,235,JOLT  ,Ha I'm definitely going to see this one.,en,40
236,236,JOLT  ,I keep seeing crank references I got like she hulk vibes except she doesn’t turn green.,en,87
237,237,JOLT  ,Looks like a fan club in here. I'm gonna slowly back out.,en,57
238,238,JOLT  ,"Jolt... Salt... Blond... Na-h, no difference at all",en,51
239,239,JOLT  ,"There is one heck of a lot of ""suspension of disbelief"" going on here.",en,70
240,240,JOLT  ,love Kate Beckinsale still continuing her ass kicking since her Underworld series n Total Recall undoubtedly she doesnt seem to have age,en,136
241,241,JOLT  ,CRANK + LUCY with a bit of Atomic Blonde😁😁😁,en,43
242,242,JOLT  ,So this is where Argus Filch has been since he retired from Hogwarts?😅😅😅😅,en,73
243,243,JOLT  ,Finally a movie from her,en,24
244,244,JOLT  ,"Love to see Kate in a movie again , getting Crank vibes here like the others said , not sure where Lucy comes into play though , no superpowers shown here as far as i can see.",en,175
245,245,JOLT  ,This looks good 🔥,et,17
246,246,JOLT  ,"Finally, another deadpool sequel",en,32
247,247,JOLT  ,What a bloody gorgeous woman. Watched her from the start of her journey. Kate just gets more sexy and gorgeous.. Just God Dam STUNNING..,en,136
248,248,JOLT  ,I'm gonna strap my junk to a car battery to get the full experience 🔌,en,69
249,249,JOLT  ,would love to see Kate Beckinsale + Keira Knightley in action films...booom!!,en,77
250,250,SING 2  ,So generous of them to show us the entire movie in less than 4 minutes.,en,71
251,251,SING 2  ,"First movie: ""I hope I'm good enough to get the prize money"" 

Second movie: ""We're back but with a hint of anxiety for all of the characters!""",en,143
